rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =          door_open | floor = 1111 | current_floor = 1111 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =          door_open | floor = 1111 | current_floor = 1111 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =          door_open | floor = 1111 | current_floor = 1111 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0111 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =         door_close | floor = 1111 | current_floor = 1111 | move_up = 0 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0001 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =               idle | floor = 1111 | current_floor = 1111 | move_up = 0 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0101 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =       weight_check | floor = 1111 | current_floor = 1111 | move_up = 0 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
people entering into the lift
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 100101100 | current_state =          door_open | floor = 1001 | current_floor = 1111 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 100101100 | current_state =          door_open | floor = 1001 | current_floor = 1111 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 100101100 | current_state =          door_open | floor = 1001 | current_floor = 1111 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 100101100 | current_state =          door_open | floor = 1001 | current_floor = 1111 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 100101100 | current_state =          door_open | floor = 1001 | current_floor = 1111 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 100101100 | current_state =          door_open | floor = 1001 | current_floor = 1111 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 100101100 | current_state =          door_open | floor = 1001 | current_floor = 1111 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 100101100 | current_state =          door_open | floor = 1001 | current_floor = 1111 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 100101100 | current_state =          door_open | floor = 1001 | current_floor = 1111 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 100101100 | current_state =          door_open | floor = 1001 | current_floor = 1111 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0111 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 100101100 | current_state =         door_close | floor = 1001 | current_floor = 1111 | move_up = 0 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0001 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 100101100 | current_state =               idle | floor = 1001 | current_floor = 1111 | move_up = 0 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0011 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 100101100 | current_state =          move_down | floor = 1001 | current_floor = 1111 | move_up = 0 | move_down = 1 | door_open = 0 | door_close = 1 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0011 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 100101100 | current_state =          move_down | floor = 1001 | current_floor = 1110 | move_up = 0 | move_down = 1 | door_open = 0 | door_close = 1 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0011 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 100101100 | current_state =          move_down | floor = 1001 | current_floor = 1101 | move_up = 0 | move_down = 1 | door_open = 0 | door_close = 1 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0011 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 100101100 | current_state =          move_down | floor = 1001 | current_floor = 1100 | move_up = 0 | move_down = 1 | door_open = 0 | door_close = 1 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 1 |p_state = 0001 | n_state = 1000 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 100101100 | current_state =     emergency_stop | floor = 1001 | current_floor = 1011 | move_up = 0 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 1 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 100101100 | current_state =          door_open | floor = 1001 | current_floor = 1011 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 1 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 100101100 | current_state =          door_open | floor = 1001 | current_floor = 1011 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 1 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 100101100 | current_state =          door_open | floor = 1001 | current_floor = 1011 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 1 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 100101100 | current_state =          door_open | floor = 1001 | current_floor = 1011 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 1 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 100101100 | current_state =          door_open | floor = 1001 | current_floor = 1011 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 1 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 100101100 | current_state =          door_open | floor = 1001 | current_floor = 1011 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 1 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 100101100 | current_state =          door_open | floor = 1001 | current_floor = 1011 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 1 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 100101100 | current_state =          door_open | floor = 1001 | current_floor = 1011 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 1 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 100101100 | current_state =          door_open | floor = 1001 | current_floor = 1011 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 1 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 100101100 | current_state =          door_open | floor = 1001 | current_floor = 1011 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 1 |p_state = 0001 | n_state = 0111 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 100101100 | current_state =         door_close | floor = 1001 | current_floor = 1011 | move_up = 0 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 1 |p_state = 0001 | n_state = 0001 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 100101100 | current_state =               idle | floor = 1001 | current_floor = 1011 | move_up = 0 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 1 |p_state = 0001 | n_state = 1000 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 100101100 | current_state =     emergency_stop | floor = 1001 | current_floor = 1011 | move_up = 0 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 1 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 100101100 | current_state =          door_open | floor = 1001 | current_floor = 1011 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 1 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 100101100 | current_state =          door_open | floor = 1001 | current_floor = 1011 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 1 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 100101100 | current_state =          door_open | floor = 1001 | current_floor = 1011 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 1 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 100101100 | current_state =          door_open | floor = 1001 | current_floor = 1011 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 1 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 100101100 | current_state =          door_open | floor = 1001 | current_floor = 1011 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 1 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 100101100 | current_state =          door_open | floor = 1001 | current_floor = 1011 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 1 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 100101100 | current_state =          door_open | floor = 1001 | current_floor = 1011 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 1 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 100101100 | current_state =          door_open | floor = 1001 | current_floor = 1011 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 1 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 100101100 | current_state =          door_open | floor = 1001 | current_floor = 1011 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 1 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 100101100 | current_state =          door_open | floor = 1001 | current_floor = 1011 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 1 |p_state = 0001 | n_state = 0111 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 100101100 | current_state =         door_close | floor = 1001 | current_floor = 1011 | move_up = 0 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 1 |p_state = 0001 | n_state = 0001 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 100101100 | current_state =               idle | floor = 1001 | current_floor = 1011 | move_up = 0 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 1 |p_state = 0001 | n_state = 1000 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 100101100 | current_state =     emergency_stop | floor = 1001 | current_floor = 1011 | move_up = 0 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 1 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 100101100 | current_state =          door_open | floor = 1001 | current_floor = 1011 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 1 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 100101100 | current_state =          door_open | floor = 1001 | current_floor = 1011 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 1 |p_state = 0001 | n_state = 0100 | 
============Test Case 13 : Emergency stop at ideal state============
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =          door_open | floor = 0000 | current_floor = 1011 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 1 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =          door_open | floor = 0000 | current_floor = 1011 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 1 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =          door_open | floor = 0000 | current_floor = 1011 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 1 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =          door_open | floor = 0000 | current_floor = 1011 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 1 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =          door_open | floor = 0000 | current_floor = 1011 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 1 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =          door_open | floor = 0000 | current_floor = 1011 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 1 |p_state = 0001 | n_state = 0100 | 
